tokens,caracteres,palabras_unicas
101,577,33
145,922,55
69,407,41
82,463,13
31,203,15
89,598,73
72,455,38
53,294,29
76,459,36
61,382,30
51,305,21
124,844,66
176,1168,77
55,292,24
31,187,20
50,328,30
2,10,2
117,734,75
47,297,28
59,336,23
44,249,36
130,879,45
44,245,15
60,363,37
67,397,42
47,325,24
121,719,39
92,509,33
35,189,15
58,340,35
36,196,23
43,248,35
62,340,46
153,867,30
171,1196,68
42,232,25
170,1045,142
14,77,8
11,68,9
80,499,59
20,123,18
87,520,17
70,385,31
76,512,71
75,474,45
51,315,25
18,103,11
82,503,37
45,274,35
66,384,30
37,219,31
56,363,26
162,1105,72
57,330,47
197,1292,107
84,567,57
123,704,45
1,6,1
87,536,63
178,1333,71
58,350,34
57,326,50
53,323,19
111,667,69
132,774,66
61,329,33
86,535,50
74,428,41
59,373,36
36,248,18
91,556,59
48,285,17
28,150,17
37,213,20
55,382,30
193,1196,105
68,414,39
30,167,18
157,983,67
43,254,31
59,382,38
129,761,48
46,272,34
50,310,33
46,260,22
48,294,30
63,361,46
108,616,41
76,469,38
91,558,69
30,184,28
32,188,18
132,757,84
56,331,29
53,281,20
22,121,15
47,298,29
104,601,68
39,242,17
47,312,33
46,298,21
87,530,45
47,270,22
87,522,36
63,354,30
66,433,28
154,1003,116
60,376,33
36,197,26
178,1279,166
23,148,11
64,396,43
31,183,18
108,647,28
55,343,47
54,324,23
116,671,42
41,221,19
67,412,52
40,226,29
72,427,47
39,221,27
114,671,60
36,220,28
73,444,42
102,628,65
90,511,46
43,240,21
76,439,32
58,365,48
92,570,34
53,296,32
23,137,17
96,561,33
68,411,36
174,1142,144
145,828,40
178,1143,138
28,182,9
43,248,23
47,303,35
32,179,20
47,279,27
91,602,84
61,405,25
10,64,9
180,1103,88
89,526,41
85,641,48
111,759,38
42,274,32
119,718,27
54,295,27
174,1044,51
95,566,46
44,256,24
140,852,68
25,132,17
58,356,17
23,145,15
37,222,24
58,344,47
94,557,20
19,109,15
38,216,21
105,660,82
83,582,42
74,492,46
49,295,20
98,599,60
102,556,54
86,540,53
42,256,39
36,251,14
116,741,43
32,195,27
60,370,47
50,304,33
95,579,48
60,435,27
77,462,37
94,553,59
62,390,37
44,233,16
97,704,29
102,585,43
35,197,26
86,538,64
74,426,31
131,785,37
42,247,23
35,205,10
48,273,38
71,372,33
30,200,26
45,251,23
14,83,4
61,399,49
59,344,34
71,449,51
88,521,58
83,447,48
59,333,29
35,237,26
111,747,88
25,175,21
53,338,27
102,642,42
64,257,12
121,692,81
51,309,21
54,367,35
37,251,10
134,843,57
153,951,98
116,805,87
122,767,74
90,538,40
137,871,88
84,457,42
60,356,25
28,204,19
49,280,33
129,685,37
43,246,20
56,329,23
27,147,24
50,289,21
190,1096,123
89,571,58
62,385,14
58,384,34
34,195,17
91,467,15
48,330,30
41,245,34
17,94,8
80,496,69
100,645,59
56,308,19
117,742,75
65,379,33
13,68,10
73,403,26
155,814,30
76,451,54
95,524,29
86,501,42
86,496,48
83,510,38
76,469,58
115,691,63
192,1168,102
61,344,31
84,504,48
53,316,40
68,397,48
66,416,28
34,201,21
88,614,27
126,972,28
82,447,20
26,138,10
36,221,17
75,476,31
30,176,14
22,130,6
76,453,69
25,153,13
45,289,24
155,952,42
87,536,17
89,503,25
45,293,30
86,474,42
46,255,16
24,144,15
44,259,18
25,143,14
119,806,34
126,789,103
105,649,45
64,375,31
37,210,19
137,861,90
84,693,27
104,660,29
46,234,16
174,1160,59
65,420,50
94,588,33
68,412,30
69,409,44
19,118,12
39,224,27
72,434,38
25,144,25
81,518,35
27,168,21
67,375,16
115,704,57
78,536,65
81,511,29
174,1280,81
23,128,19
56,303,31
195,1147,83
150,902,77
107,633,49
20,132,17
1,7,1
52,342,26
57,365,35
7,38,6
46,267,22
142,912,37
66,367,43
44,317,17
28,174,16
57,369,42
133,775,55
55,304,18
116,691,41
86,521,35
72,482,37
114,639,38
39,239,18
72,424,41
48,317,19
103,631,46
88,483,35
36,219,23
58,360,47
112,714,63
199,1308,77
32,167,25
118,815,88
86,520,32
28,165,10
56,373,18
42,240,31
78,473,56
30,203,29
26,137,11
40,229,10
39,223,28
135,825,54
26,166,19
56,344,24
55,289,31
62,358,32
44,261,21
100,633,67
52,305,20
52,337,26
82,459,31
89,516,50
194,1212,149
18,93,11
41,242,30
49,276,23
141,875,55
56,330,39
67,394,41
77,443,30
88,548,70
105,663,74
47,274,24
6,33,6
99,580,55
81,471,22
97,633,48
59,381,36
21,122,18
78,505,32
90,612,56
54,336,27
26,149,10
34,192,30
110,651,15
85,498,22
28,163,23
77,467,22
109,598,40
53,298,25
28,183,23
127,949,73
45,242,38
46,324,35
49,308,8
29,194,20
32,191,27
89,561,46
63,373,27
21,139,17
70,394,44
76,451,41
35,208,28
43,259,34
76,448,48
164,1057,128
38,219,33
122,801,29
39,288,14
53,270,7
32,186,13
33,218,10
72,503,48
35,212,30
199,1353,127
65,382,37
67,450,28
108,580,51
82,509,46
34,221,23
54,326,39
80,423,21
30,198,22
94,604,33
32,174,20
57,358,48
32,195,26
36,198,24
34,212,10
43,294,10
70,386,20
47,294,14
62,334,32
49,312,25
42,258,33
76,427,52
47,281,22
51,332,29
179,1112,137
36,195,31
198,1318,133
107,683,84
19,138,19
37,205,32
18,98,13
129,728,62
80,466,38
49,267,31
63,404,37
29,165,12
91,550,25
66,381,20
9,61,9
171,1043,129
47,293,40
37,219,20
22,151,21
111,725,97
112,727,30
49,320,35
79,493,42
170,1049,82
44,322,32
168,1009,97
71,428,34
24,140,17
28,135,16
46,271,32
32,204,20
170,1002,71
17,125,16
159,1030,63
66,412,47
143,838,68
99,600,56
64,371,19
109,598,51
124,797,51
61,367,54
77,455,57
56,380,6
27,174,15
150,890,105
71,484,44
18,96,17
41,241,19
51,281,27
163,1041,137
85,501,30
133,813,80
93,541,18
90,520,38
134,856,114
165,999,96
48,289,37
24,178,21
89,517,41
20,106,14
19,118,15
37,195,14
37,214,23
25,151,12
53,275,16
29,158,19
190,1225,142
61,353,24
83,482,72
59,335,40
74,427,33
34,202,17
58,362,21
135,801,57
33,184,21
116,690,43
100,592,48
185,1241,110
98,516,30
58,327,25
119,690,27
108,592,34
39,231,31
90,591,57
59,366,27
6,42,6
72,410,17
41,232,20
80,474,43
30,180,14
86,493,41
32,193,24
182,1088,137
48,277,20
10,50,9
57,365,53
35,211,32
120,729,53
170,1022,124
61,346,33
118,695,16
47,248,31
32,211,15
130,846,53
28,161,14
78,477,65
69,526,56
66,384,40
34,218,23
49,298,34
84,567,43
15,84,9
32,191,21
69,401,44
58,355,23
63,463,58
50,318,34
55,345,48
34,209,17
55,336,22
25,133,16
71,484,18
95,522,36
117,696,56
102,588,38
34,210,23
24,141,16
110,656,48
163,957,101
16,89,12
73,416,43
26,155,24
46,277,23
53,325,32
25,139,21
17,91,15
57,325,33
50,318,37
45,246,17
113,677,48
28,177,18
120,709,49
97,627,48
76,494,40
46,249,18
155,941,70
4,19,4
88,521,55
171,1044,60
91,602,46
32,184,28
34,202,17
11,70,8
48,284,25
147,784,34
52,316,18
35,200,21
40,246,25
69,403,34
186,1110,137
133,778,92
67,406,30
35,234,18
53,332,33
73,453,53
53,342,51
79,490,28
70,425,30
36,203,23
63,374,37
88,526,39
47,266,25
22,142,9
23,136,14
131,808,81
56,316,37
89,558,35
86,550,76
45,258,40
9,53,6
179,1131,88
112,698,28
83,551,39
70,484,33
83,528,25
47,283,37
30,166,17
37,202,17
71,422,41
83,497,21
48,289,37
91,539,42
32,220,22
187,1119,108
79,513,44
59,374,33
75,417,44
62,423,60
138,853,61
135,977,27
197,1178,125
26,147,23
41,246,26
60,372,29
15,92,13
60,338,27
50,276,28
80,528,21
35,243,28
48,295,32
48,344,31
42,221,30
62,340,32
24,132,14
92,520,38
39,232,31
67,365,32
17,98,11
73,417,44
158,999,117
158,958,87
34,221,30
127,699,37
44,268,32
26,152,26
83,524,22
139,792,59
64,401,49
110,671,50
75,504,30
87,560,51
23,120,15
76,516,66
37,218,9
52,303,28
53,277,38
107,586,59
66,394,24
108,591,57
148,899,65
37,231,32
102,570,41
47,317,8
53,329,13
34,183,17
122,685,52
124,767,33
27,167,25
59,358,25
147,871,85
73,430,19
40,227,22
138,764,47
32,191,20
34,186,14
56,333,40
67,448,52
77,476,44
52,317,28
24,152,18
108,703,50
96,554,36
32,189,23
70,440,35
61,355,31
61,351,31
86,535,49
53,383,26
46,271,25
64,430,26
30,162,23
47,310,30
39,292,29
57,320,20
54,324,41
66,394,32
113,649,41
56,360,25
53,315,34
69,494,27
54,298,24
134,801,72
46,268,20
45,319,36
28,165,18
87,524,50
52,284,33
41,273,27
27,161,19
46,262,21
107,569,29
90,530,48
146,874,66
67,388,27
180,1145,148
40,225,19
58,352,27
65,427,56
38,224,33
37,221,29
116,717,65
96,629,88
64,391,48
26,142,22
57,361,28
88,511,42
93,540,58
68,433,24
112,645,53
33,204,28
39,262,24
44,271,15
84,481,57
28,188,15
90,535,48
42,249,27
80,528,58
46,318,20
138,823,93
12,64,12
27,172,26
34,214,13
61,349,32
23,125,12
68,421,38
84,581,40
8,44,5
67,439,48
21,125,13
189,1226,156
26,169,13
130,748,47
26,161,19
63,359,26
124,912,104
191,1153,102
53,336,26
195,1213,119
61,382,37
57,333,44
102,577,57
30,164,21
52,317,35
176,1142,90
58,350,39
23,156,18
57,375,21
69,397,36
141,802,71
67,388,44
37,220,23
60,356,48
36,199,14
29,139,12
60,348,30
199,1214,127
129,725,31
187,1097,132
96,657,32
70,437,22
105,540,23
89,562,27
169,1143,95
58,326,25
70,398,32
72,447,59
35,202,19
168,1038,125
74,481,50
152,914,100
120,841,57
62,393,40
45,291,24
83,563,47
161,923,86
67,421,42
45,239,31
61,386,33
89,565,65
51,357,48
8,52,6
127,844,76
46,264,34
20,110,13
83,525,61
63,352,35
23,139,19
54,304,34
185,1168,102
86,533,63
52,318,33
33,190,24
32,152,11
51,309,39
62,352,29
33,187,27
198,1304,147
67,408,43
28,170,23
72,439,54
107,679,65
70,390,31
93,568,36
128,774,58
26,152,15
75,446,37
24,161,18
183,1189,167
69,403,31
63,411,56
66,440,38
65,401,25
177,1217,135
19,132,14
56,339,50
19,108,11
117,674,62
50,266,23
182,1069,122
79,491,42
49,270,26
137,813,46
63,412,38
26,142,17
86,511,59
63,419,31
51,304,35
9,53,9
68,443,32
34,197,27
75,421,37
73,423,39
54,284,29
42,243,32
38,227,31
150,871,35
76,550,51
52,279,25
73,459,29
41,258,27
25,135,17
55,260,21
77,428,26
53,304,35
61,384,25
85,513,56
41,243,18
22,132,14
24,155,23
44,255,24
