token,frecuencia
know,5910
like,5110
time,4670
come,3989
go,2949
feel,2938
away,2924
yeah,2888
heart,2864
want,2714
life,2699
cause,2630
baby,2473
right,2402
live,2234
leave,2221
tell,2142
night,2111
think,1994
long,1974
gonna,1893
hold,1856
look,1818
world,1771
need,1749
good,1727
break,1685
hear,1621
mind,1578
fall,1564
dream,1494
hand,1370
say,1353
wanna,1307
eye,1291
home,1281
little,1277
lose,1268
stand,1232
fuck,1226
play,1215
head,1181
believe,1174
better,1163
change,1153
walk,1148
girl,1113
things,1106
stay,1102
face,1097
turn,1086
sing,1066
take,986
blue,957
song,932
inside,909
tonight,907
light,888
start,884
remember,878
money,862
word,862
tear,860
love,858
hard,857
true,852
people,841
place,836
gotta,803
bring,801
stop,795
wish,764
shit,764
bitch,752
get,746
kiss,735
lonely,732
mean,728
sweet,720
wait,720
give,719
black,716
wrong,698
kill,694
dead,694
fight,693
forget,692
days,692
make,691
try,690
cold,686
soul,682
talk,671
real,668
fool,661
watch,651
thing,633
miss,629
burn,625
pain,605
high,600
sleep,599
hide,596
close,585
call,575
line,575
game,574
music,565
care,565
free,564
ready,556
today,553
hurt,551
cry,546
work,539
till,526
arm,516
touch,515
hell,509
grow,508
lord,507
lie,506
rain,505
forever,504
open,502
party,499
sound,488
learn,488
door,488
see,487
listen,487
beat,483
nigga,479
somebody,477
white,475
years,473
reason,470
run,463
fear,462
woman,454
roll,444
bout,440
save,433
understand,433
dance,432
deep,429
smile,428
best,426
niggas,425
keep,423
matter,422
tomorrow,416
grind,415
blood,415
help,414
young,413
maybe,408
catch,406
strong,402
promise,401
damn,399
drink,396
wonder,393
morning,392
goodbye,392
shoot,390
road,389
body,388
fade,387
begin,385
pull,383
blow,379
everybody,379
write,377
throw,375
wall,370
friend,369
ride,367
alive,364
die,364
smoke,364
pass,363
step,362
heaven,360
nothin,358
hate,357
late,356
truth,348
dark,347
friends,344
wind,343
soon,342
death,342
room,340
summer,337
crazy,336
feet,330
land,329
trust,324
spend,323
ring,323
couldn,320
power,315
follow,315
radio,312
knock,312
reach,311
whoa,311
shake,310
hang,309
speak,308
devil,307
past,307
darling,306
guess,305
tight,304
sure,301
waste,300
apart,300
round,299
pray,298
breathe,296
control,294
fine,293
bear,291
alright,290
lead,288
kind,287
thank,287
rest,285
straight,285
voice,284
comin,283
star,280
tire,280
lyric,278
goin,275
tryin,274
belong,273
memory,271
easy,271
drop,269
meet,268
afraid,266
share,266
piece,263
stick,263
songs,263
drive,262
steal,260
scream,260
moon,260
moment,259
build,259
move,255
dear,253
nights,253
commercial,252
cross,251
plan,251
blame,250
check,249
hearts,249
lips,248
ways,247
kick,247
bone,246
house,246
count,244
yesterday,243
lookin,242
knees,241
shame,240
happen,238
teach,238
gettin,237
floor,236
city,235
end,232
send,230
babe,230
doin,230
laugh,230
earth,229
street,228
livin,227
bleed,227
shine,227
water,226
wear,226
beautiful,226
blind,224
choose,224
search,224
lock,221
everyday,221
feelin,221
peace,220
lover,220
near,218
pick,216
stone,215
someday,215
talkin,214
rule,213
sign,211
point,209
picture,206
holy,205
future,205
breath,204
slow,202
sick,202
different,201
memories,200
felt,199
woah,199
slip,197
second,197
mama,195
scar,195
outside,195
wouldn,194
jump,193
fast,193
clear,193
club,192
finger,191
doubt,189
worry,188
realize,188
story,187
crash,187
warm,187
girls,185
gold,185
tree,184
pride,184
lovin,184
mouth,184
evil,184
year,183
push,181
pretty,181
chain,178
rise,177
ghost,177
dirty,177
flow,176
daddy,176
wide,174
longer,174
trouble,174
train,174
sell,173
wine,172
streets,171
read,171
loud,170
million,170
tryna,169
track,167
thoughts,166
hair,166
answer,165
child,165
cool,165
somethin,165
cover,165
great,165
river,165
thousand,164
anymore,164
kid,163
fell,163
taste,162
school,161
lady,160
style,160
skin,160
rhyme,160
walkin,160
half,159
mother,159
babylon,159
boys,158
outta,158
paper,157
swear,157
happiness,156
hop,156
pretend,155
brain,155
bless,155
small,154
shin,153
raise,153
ball,153
bright,152
color,152
record,151
wild,151
treat,151
crack,151
darkness,150
makin,150
tongue,150
repeat,149
sight,148
window,148
fill,147
hole,147
children,147
closer,146
lean,146
crowd,146
dope,146
simple,146
race,145
wasn,144
phone,144
strange,144
return,142
paint,141
green,141
bang,141
sorrow,141
question,141
flame,141
ones,139
brother,139
state,138
finally,138
luck,138
survive,137
slowly,137
band,137
safe,137
winter,137
fuckin,136
swing,135
shoe,135
clock,134
remain,134
sorry,134
wake,134
mess,133
sense,132
ask,132
waitin,132
weak,131
country,130
show,130
twist,130
satisfy,130
sit,130
wing,130
paradise,130
rock,129
nice,129
drug,128
desire,128
gimme,128
have,127
ohoh,127
thrill,126
grave,126
deal,125
snow,125
fly,125
minute,125
cloud,124
runnin,124
space,124
strike,124
father,123
oooh,123
single,123
shut,123
pack,123
whisper,122
okay,122
bury,122
root,121
fake,121
crawl,121
rockin,121
book,121
pay,120
block,119
smell,119
hours,119
magic,119
mirror,118
hour,118
number,118
silence,118
clean,117
heavy,117
bind,117
ahead,117
welcome,116
bust,116
mistake,116
crime,116
lonesome,116
pussy,115
human,115
fate,115
bend,113
nation,113
guitar,112
bottle,112
funny,112
instead,112
insane,112
trap,111
drown,111
neck,111
spirit,111
soldier,111
spit,110
pocket,110
machine,110
lovely,109
spring,109
queen,109
corner,109
boom,108
glass,108
precious,107
fair,107
business,107
tie,107
pour,106
wave,106
higher,106
police,106
shadow,105
heat,105
tune,105
heal,104
travel,104
playin,104
shoulder,104
gyal,104
bridge,103
tough,103
rhythm,103
quick,102
shall,102
ease,101
